"['Odmiana wyrazu: _dokonywaæ', 'Czas przesz³y, l.poj: Ja _dokonywa³em/_dokonywa³am/_dokonywa³om', 'Czas przesz³y, l.poj: Ty _dokonywa³eœ/_dokonywa³aœ/_dokonywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono _dokonywa³/_dokonywa³a/_dokonywa³o', 'Czas przesz³y, l.m: My _dokonywaliœmy/_dokonywa³œmy', 'Czas przesz³y, l.m: Wy _dokonywaliœcie/_dokonywa³yœcie', 'Czas przesz³y, l.m: Oni/One _dokonywali/_dokonywa³y', 'Czas terazniejszy, l.poj: Ja _dokonujê', 'Czas terazniejszy, l.poj: Ty _dokonujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono _dokonuje', 'Czas terazniejszy, l.m: My _dokonujemy', 'Czas terazniejszy, l.m: Wy _dokonujecie', 'Czas terazniejszy, l.m: Oni/One _dokonuj¹', 'Czas przysz³y, l.poj: Ja _dokonam', 'Czas przysz³y, l.poj: Ty _dokonasz', 'Czas przysz³y, l.poj: On/Ona/Ono _dokona', 'Czas przysz³y, l.m: My _dokonamy', 'Czas przysz³y, l.m: Wy _dokonacie', 'Czas przysz³y, l.m: Oni/One _dokonaj¹']"
"['Odmiana wyrazu: odzmys³owiæ', 'Czas przesz³y, l.poj: Ja odzmys³owi³em/odzmys³owi³am/odzmys³owi³om', 'Czas przesz³y, l.poj: Ty odzmys³owi³eœ/odzmys³owi³aœ/odzmys³owi³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono odzmys³owi³/odzmys³owi³a/odzmys³owi³o', 'Czas przesz³y, l.m: My odzmys³owiliœmy/odzmys³owi³œmy', 'Czas przesz³y, l.m: Wy odzmys³owiliœcie/odzmys³owi³yœcie', 'Czas przesz³y, l.m: Oni/One odzmys³owili/odzmys³owi³y', 'Czas terazniejszy, l.poj: Ja odzmys³ujê', 'Czas terazniejszy, l.poj: Ty odzmys³ujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono odzmys³uje', 'Czas terazniejszy, l.m: My odzmys³ujemy', 'Czas terazniejszy, l.m: Wy odzmys³ujecie', 'Czas terazniejszy, l.m: Oni/One odzmys³uj¹', 'Czas przysz³y, l.poj: Ja odzmys³am', 'Czas przysz³y, l.poj: Ty odzmys³asz', 'Czas przysz³y, l.poj: On/Ona/Ono odzmys³a', 'Czas przysz³y, l.m: My odzmys³amy', 'Czas przysz³y, l.m: Wy odzmys³acie', 'Czas przysz³y, l.m: Oni/One odzmys³aj¹']"
"['Odmiana wyrazu: podczytywaæ', 'Czas przesz³y, l.poj: Ja podczytywa³em/podczytywa³am/podczytywa³om', 'Czas przesz³y, l.poj: Ty podczytywa³eœ/podczytywa³aœ/podczytywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podczytywa³/podczytywa³a/podczytywa³o', 'Czas przesz³y, l.m: My podczytywaliœmy/podczytywa³œmy', 'Czas przesz³y, l.m: Wy podczytywaliœcie/podczytywa³yœcie', 'Czas przesz³y, l.m: Oni/One podczytywali/podczytywa³y', 'Czas terazniejszy, l.poj: Ja podczytujê', 'Czas terazniejszy, l.poj: Ty podczytujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podczytuje', 'Czas terazniejszy, l.m: My podczytujemy', 'Czas terazniejszy, l.m: Wy podczytujecie', 'Czas terazniejszy, l.m: Oni/One podczytuj¹', 'Czas przysz³y, l.poj: Ja podczytam', 'Czas przysz³y, l.poj: Ty podczytasz', 'Czas przysz³y, l.poj: On/Ona/Ono podczyta', 'Czas przysz³y, l.m: My podczytamy', 'Czas przysz³y, l.m: Wy podczytacie', 'Czas przysz³y, l.m: Oni/One podczytaj¹']"
"['Odmiana wyrazu: podpajaæ', 'Czas przesz³y, l.poj: Ja podpaja³em/podpaja³am/podpaja³om', 'Czas przesz³y, l.poj: Ty podpaja³eœ/podpaja³aœ/podpaja³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podpaja³/podpaja³a/podpaja³o', 'Czas przesz³y, l.m: My podpajaliœmy/podpaja³œmy', 'Czas przesz³y, l.m: Wy podpajaliœcie/podpaja³yœcie', 'Czas przesz³y, l.m: Oni/One podpajali/podpaja³y', 'Czas terazniejszy, l.poj: Ja podpujê', 'Czas terazniejszy, l.poj: Ty podpujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podpuje', 'Czas terazniejszy, l.m: My podpujemy', 'Czas terazniejszy, l.m: Wy podpujecie', 'Czas terazniejszy, l.m: Oni/One podpuj¹', 'Czas przysz³y, l.poj: Ja podpam', 'Czas przysz³y, l.poj: Ty podpasz', 'Czas przysz³y, l.poj: On/Ona/Ono podpa', 'Czas przysz³y, l.m: My podpamy', 'Czas przysz³y, l.m: Wy podpacie', 'Czas przysz³y, l.m: Oni/One podpaj¹']"
"['Odmiana wyrazu: podstrzyæ', 'Czas przesz³y, l.poj: Ja podstrzy³em/podstrzy³am/podstrzy³om', 'Czas przesz³y, l.poj: Ty podstrzy³eœ/podstrzy³aœ/podstrzy³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podstrzy³/podstrzy³a/podstrzy³o', 'Czas przesz³y, l.m: My podstrzyliœmy/podstrzy³œmy', 'Czas przesz³y, l.m: Wy podstrzyliœcie/podstrzy³yœcie', 'Czas przesz³y, l.m: Oni/One podstrzyli/podstrzy³y', 'Czas terazniejszy, l.poj: Ja podstujê', 'Czas terazniejszy, l.poj: Ty podstujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podstuje', 'Czas terazniejszy, l.m: My podstujemy', 'Czas terazniejszy, l.m: Wy podstujecie', 'Czas terazniejszy, l.m: Oni/One podstuj¹', 'Czas przysz³y, l.poj: Ja podstam', 'Czas przysz³y, l.poj: Ty podstasz', 'Czas przysz³y, l.poj: On/Ona/Ono podsta', 'Czas przysz³y, l.m: My podstamy', 'Czas przysz³y, l.m: Wy podstacie', 'Czas przysz³y, l.m: Oni/One podstaj¹']"
"['Odmiana wyrazu: podzwaniaæ', 'Czas przesz³y, l.poj: Ja podzwania³em/podzwania³am/podzwania³om', 'Czas przesz³y, l.poj: Ty podzwania³eœ/podzwania³aœ/podzwania³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono podzwania³/podzwania³a/podzwania³o', 'Czas przesz³y, l.m: My podzwanialiœmy/podzwania³œmy', 'Czas przesz³y, l.m: Wy podzwanialiœcie/podzwania³yœcie', 'Czas przesz³y, l.m: Oni/One podzwaniali/podzwania³y', 'Czas terazniejszy, l.poj: Ja podzwaujê', 'Czas terazniejszy, l.poj: Ty podzwaujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono podzwauje', 'Czas terazniejszy, l.m: My podzwaujemy', 'Czas terazniejszy, l.m: Wy podzwaujecie', 'Czas terazniejszy, l.m: Oni/One podzwauj¹', 'Czas przysz³y, l.poj: Ja podzwaam', 'Czas przysz³y, l.poj: Ty podzwaasz', 'Czas przysz³y, l.poj: On/Ona/Ono podzwaa', 'Czas przysz³y, l.m: My podzwaamy', 'Czas przysz³y, l.m: Wy podzwaacie', 'Czas przysz³y, l.m: Oni/One podzwaaj¹']"
"['Odmiana wyrazu: pod¿artowywaæ', 'Czas przesz³y, l.poj: Ja pod¿artowywa³em/pod¿artowywa³am/pod¿artowywa³om', 'Czas przesz³y, l.poj: Ty pod¿artowywa³eœ/pod¿artowywa³aœ/pod¿artowywa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono pod¿artowywa³/pod¿artowywa³a/pod¿artowywa³o', 'Czas przesz³y, l.m: My pod¿artowywaliœmy/pod¿artowywa³œmy', 'Czas przesz³y, l.m: Wy pod¿artowywaliœcie/pod¿artowywa³yœcie', 'Czas przesz³y, l.m: Oni/One pod¿artowywali/pod¿artowywa³y', 'Czas terazniejszy, l.poj: Ja pod¿artowujê', 'Czas terazniejszy, l.poj: Ty pod¿artowujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono pod¿artowuje', 'Czas terazniejszy, l.m: My pod¿artowujemy', 'Czas terazniejszy, l.m: Wy pod¿artowujecie', 'Czas terazniejszy, l.m: Oni/One pod¿artowuj¹', 'Czas przysz³y, l.poj: Ja pod¿artowam', 'Czas przysz³y, l.poj: Ty pod¿artowasz', 'Czas przysz³y, l.poj: On/Ona/Ono pod¿artowa', 'Czas przysz³y, l.m: My pod¿artowamy', 'Czas przysz³y, l.m: Wy pod¿artowacie', 'Czas przysz³y, l.m: Oni/One pod¿artowaj¹']"
"['Odmiana wyrazu: powynajmowaæ', 'Czas przesz³y, l.poj: Ja powynajmowa³em/powynajmowa³am/powynajmowa³om', 'Czas przesz³y, l.poj: Ty powynajmowa³eœ/powynajmowa³aœ/powynajmowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono powynajmowa³/powynajmowa³a/powynajmowa³o', 'Czas przesz³y, l.m: My powynajmowaliœmy/powynajmowa³œmy', 'Czas przesz³y, l.m: Wy powynajmowaliœcie/powynajmowa³yœcie', 'Czas przesz³y, l.m: Oni/One powynajmowali/powynajmowa³y', 'Czas terazniejszy, l.poj: Ja powynajmujê', 'Czas terazniejszy, l.poj: Ty powynajmujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono powynajmuje', 'Czas terazniejszy, l.m: My powynajmujemy', 'Czas terazniejszy, l.m: Wy powynajmujecie', 'Czas terazniejszy, l.m: Oni/One powynajmuj¹', 'Czas przysz³y, l.poj: Ja powynajmam', 'Czas przysz³y, l.poj: Ty powynajmasz', 'Czas przysz³y, l.poj: On/Ona/Ono powynajma', 'Czas przysz³y, l.m: My powynajmamy', 'Czas przysz³y, l.m: Wy powynajmacie', 'Czas przysz³y, l.m: Oni/One powynajmaj¹']"
"['Odmiana wyrazu: pozamykaæ', 'Czas przesz³y, l.poj: Ja pozamyka³em/pozamyka³am/pozamyka³om', 'Czas przesz³y, l.poj: Ty pozamyka³eœ/pozamyka³aœ/pozamyka³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono pozamyka³/pozamyka³a/pozamyka³o', 'Czas przesz³y, l.m: My pozamykaliœmy/pozamyka³œmy', 'Czas przesz³y, l.m: Wy pozamykaliœcie/pozamyka³yœcie', 'Czas przesz³y, l.m: Oni/One pozamykali/pozamyka³y', 'Czas terazniejszy, l.poj: Ja pozamujê', 'Czas terazniejszy, l.poj: Ty pozamujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono pozamuje', 'Czas terazniejszy, l.m: My pozamujemy', 'Czas terazniejszy, l.m: Wy pozamujecie', 'Czas terazniejszy, l.m: Oni/One pozamuj¹', 'Czas przysz³y, l.poj: Ja pozamam', 'Czas przysz³y, l.poj: Ty pozamasz', 'Czas przysz³y, l.poj: On/Ona/Ono pozama', 'Czas przysz³y, l.m: My pozamamy', 'Czas przysz³y, l.m: Wy pozamacie', 'Czas przysz³y, l.m: Oni/One pozamaj¹']"
"['Odmiana wyrazu: przek¹szaæ', 'Czas przesz³y, l.poj: Ja przek¹sza³em/przek¹sza³am/przek¹sza³om', 'Czas przesz³y, l.poj: Ty przek¹sza³eœ/przek¹sza³aœ/przek¹sza³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono przek¹sza³/przek¹sza³a/przek¹sza³o', 'Czas przesz³y, l.m: My przek¹szaliœmy/przek¹sza³œmy', 'Czas przesz³y, l.m: Wy przek¹szaliœcie/przek¹sza³yœcie', 'Czas przesz³y, l.m: Oni/One przek¹szali/przek¹sza³y', 'Czas terazniejszy, l.poj: Ja przek¹ujê', 'Czas terazniejszy, l.poj: Ty przek¹ujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono przek¹uje', 'Czas terazniejszy, l.m: My przek¹ujemy', 'Czas terazniejszy, l.m: Wy przek¹ujecie', 'Czas terazniejszy, l.m: Oni/One przek¹uj¹', 'Czas przysz³y, l.poj: Ja przek¹am', 'Czas przysz³y, l.poj: Ty przek¹asz', 'Czas przysz³y, l.poj: On/Ona/Ono przek¹a', 'Czas przysz³y, l.m: My przek¹amy', 'Czas przysz³y, l.m: Wy przek¹acie', 'Czas przysz³y, l.m: Oni/One przek¹aj¹']"
"['Odmiana wyrazu: retyrowaæ', 'Czas przesz³y, l.poj: Ja retyrowa³em/retyrowa³am/retyrowa³om', 'Czas przesz³y, l.poj: Ty retyrowa³eœ/retyrowa³aœ/retyrowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono retyrowa³/retyrowa³a/retyrowa³o', 'Czas przesz³y, l.m: My retyrowaliœmy/retyrowa³œmy', 'Czas przesz³y, l.m: Wy retyrowaliœcie/retyrowa³yœcie', 'Czas przesz³y, l.m: Oni/One retyrowali/retyrowa³y', 'Czas terazniejszy, l.poj: Ja retyrujê', 'Czas terazniejszy, l.poj: Ty retyrujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono retyruje', 'Czas terazniejszy, l.m: My retyrujemy', 'Czas terazniejszy, l.m: Wy retyrujecie', 'Czas terazniejszy, l.m: Oni/One retyruj¹', 'Czas przysz³y, l.poj: Ja retyram', 'Czas przysz³y, l.poj: Ty retyrasz', 'Czas przysz³y, l.poj: On/Ona/Ono retyra', 'Czas przysz³y, l.m: My retyramy', 'Czas przysz³y, l.m: Wy retyracie', 'Czas przysz³y, l.m: Oni/One retyraj¹']"
"['Odmiana wyrazu: robinsonowaæ', 'Czas przesz³y, l.poj: Ja robinsonowa³em/robinsonowa³am/robinsonowa³om', 'Czas przesz³y, l.poj: Ty robinsonowa³eœ/robinsonowa³aœ/robinsonowa³oœ', 'Czas przesz³y, l.poj: On/Ona/Ono robinsonowa³/robinsonowa³a/robinsonowa³o', 'Czas przesz³y, l.m: My robinsonowaliœmy/robinsonowa³œmy', 'Czas przesz³y, l.m: Wy robinsonowaliœcie/robinsonowa³yœcie', 'Czas przesz³y, l.m: Oni/One robinsonowali/robinsonowa³y', 'Czas terazniejszy, l.poj: Ja robinsonujê', 'Czas terazniejszy, l.poj: Ty robinsonujesz', 'Czas terazniejszy, l.poj: On/Ona/Ono robinsonuje', 'Czas terazniejszy, l.m: My robinsonujemy', 'Czas terazniejszy, l.m: Wy robinsonujecie', 'Czas terazniejszy, l.m: Oni/One robinsonuj¹', 'Czas przysz³y, l.poj: Ja robinsonam', 'Czas przysz³y, l.poj: Ty robinsonasz', 'Czas przysz³y, l.poj: On/Ona/Ono robinsona', 'Czas przysz³y, l.m: My robinsonamy', 'Czas przysz³y, l.m: Wy robinsonacie', 'Czas przysz³y, l.m: Oni/One robinsonaj¹']"
